param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,area_LOS ANGELES AREA,0.17658826530266672,1.193139734951829,0.0073798901156194386,0.1621239464661895,0.19105258413914394,1.176005994075227,1.2105231047231009,0.0,23.9283055080888,1.5546136561337943e-126,417.92638386138884
lambda_,area_MIDWEST AREA,0.13330167404894652,1.1425946374945322,0.007448474159011186,0.11870293295750733,0.1479004151403857,1.1260353606034657,1.1593974321833063,0.0,17.89650755352058,1.2555266703727021e-71,235.52860206179375
lambda_,area_NEW ENGLAND AREA,0.03530053535077329,1.035930995906122,0.0074574514468026,0.02068419909858408,0.04991687160296251,1.0208995997110601,1.0511837095271452,0.0,4.733592381068533,2.205804968667661e-06,18.790263331964525
lambda_,area_NEW YORK CITY AREA,0.05016215783669248,1.0514415820452099,0.0065192898357354055,0.037384584553873036,0.06293973111951191,1.0380921782956098,1.0649626531902452,0.0,7.694420573500083,1.4213680564324305e-14,45.99971314651315
lambda_,area_NORTH FLORIDA AREA,0.031513343014718385,1.032015145697057,0.007923031578593006,0.015984486472302564,0.04704219955713421,1.0161129217878646,1.0481662402975238,0.0,3.977434988377847,6.966266024354439e-05,13.809254907528716
lambda_,area_NORTHWEST/ROCKY MOUNTAIN AREA,0.04882217824755392,1.0500336153201069,0.007752949609000902,0.03362667623995826,0.06401768025514959,1.0341984437990361,1.0661112477137549,0.0,6.2972392069817005,3.029935246439446e-10,31.619993987069435
lambda_,area_OHIO AREA,0.051357200676453794,1.052698850874688,0.008035615973974848,0.035607682773868346,0.06710671857903924,1.0362492283116487,1.0694095979578462,0.0,6.391196498536721,1.6459270545735625e-10,32.50038055013532
lambda_,area_PHILADELPHIA AREA,0.024126412400151554,1.0244198090726313,0.009573209884732155,0.005363265809633689,0.042889558990669416,1.005377673866269,1.0438226076621608,0.0,2.5202009243137553,0.011728786269195757,6.413802463195243
lambda_,area_SOUTH FLORIDA AREA,0.018413601186251807,1.0185841769031379,0.00853127954412717,0.001692600537719264,0.035134601834784354,1.001694033794539,1.035759114494487,0.0,2.1583633605028814,0.030899592062695262,5.0162683980208485
lambda_,area_SOUTHWEST AREA,0.24443780834978385,1.2769032470347799,0.007446027486331643,0.2298438626486785,0.2590317540508892,1.2584035107983804,1.2956749471030342,0.0,32.82794870130253,2.3513193538010285e-236,782.7415598957471
lambda_,area_TENNESSEE AREA,0.07464973492558057,1.077506671825031,0.009508375757024031,0.05601366089033969,0.09328580896082145,1.057612131561277,1.0977754444944985,0.0,7.850944980843367,4.129140882199255e-15,47.783079780630004
lambda_,asl_flag_Y,-0.016664720629293885,0.9834733676956839,0.004411382099307784,-0.02531087066598184,-0.008018570592605932,0.9750067639088119,0.9920134923875766,0.0,-3.7776642907239535,0.0001583060728528275,12.62499577911789
lambda_,avg3mou,0.00017676689837543927,1.0001767825225643,1.6032880704846472e-05,0.00014534302962551304,0.0002081907671253655,1.0001453535924354,1.000208212440327,0.0,11.025273725264206,2.8863904150445504e-28,91.48472020394907
lambda_,avg3qty,-0.00027121581566610746,0.9997288209600185,2.8356513803887553e-05,-0.00032679356144884,-0.00021563806988337498,0.999673259829751,0.9997843851783342,0.0,-9.564497862530795,1.1274745193998343e-21,69.58739516327891
lambda_,avg6mou,0.000101909594539333,1.0001019147874985,1.3311191221890078e-05,7.582013915310273e-05,0.00012799904992556326,1.0000758230135727,1.0001280072421534,0.0,7.655933480374319,1.91913048968323e-14,45.566540518703974
