param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,change_rev,-0.00015465503569304982,0.9998453569227805,3.3062296770292487e-05,-0.00021945594660899805,-8.98541247771016e-05,0.9997805681320859,0.9999101499119839,0.0,-4.677685787153548,2.9013066787895494e-06,18.394865767554542
alpha_,dualband_T,-0.02105007471657353,0.9791699316850095,0.005711448284645864,-0.0322443076540425,-0.009855841779104566,0.9682699974091048,0.9901925678596997,0.0,-3.68559315737177,0.00022817060051697938,12.09759946531447
alpha_,dualband_Y,-0.019359256969626013,0.9808269300291221,0.0023600371268115185,-0.023984844740353978,-0.014733669198898049,0.9763005057334475,0.9853743401962414,0.0,-8.202945940846682,2.345666959720143e-16,51.92085132566162
alpha_,eqpdays,0.0002920867839934182,1.0002921294454916,4.533021774164112e-06,0.0002832022245749207,0.0003009713434119157,1.0002832423301107,1.000301016639831,0.0,64.43533663530194,0.0,inf
alpha_,mou_Mean,-0.00011080140942380485,0.9998892047288257,2.9657364009672706e-05,-0.00016892877475915775,-5.2674044088451935e-05,0.999831085492903,0.9999473273431647,0.0,-3.7360504928107274,0.00018693314809394807,12.385189960544439
alpha_,mou_cvce_Mean,-1.8915553906787222e-05,0.9999810846249911,1.3445480879790427e-05,-4.526821218599838e-05,7.4371043724239354e-06,0.999954732812404,1.0000074371320278,0.0,-1.406833572997655,0.15947674470994921,2.6485820328890965
alpha_,mou_opkv_Mean,7.45612619940364e-05,1.000074564041754,1.2813271806639571e-05,4.944771072890038e-05,9.967481325917243e-05,1.0000494489332872,1.0000996797809585,0.0,5.819065038127132,5.917770637343382e-09,27.332299072760232
alpha_,mou_peav_Mean,8.689985882322037e-05,1.0000869036347253,1.3143156319812422e-05,6.113974579320802e-05,0.00011265997185323272,1.0000611416148655,1.0001126663182263,0.0,6.611795272664048,3.7968686723676585e-11,34.61639894446175
alpha_,mouowylisv_Mean,-3.434918152187204e-05,0.9999656514084045,2.9306683450162137e-05,-9.178922559050588e-05,2.3090862546761796e-05,0.9999082149869116,1.0000230911291428,0.0,-1.1720596627825524,0.24117310323523827,2.0518590748502374
alpha_,new_cell_U,-0.03505795004715387,0.9655494609994829,0.002899086658442072,-0.0407400554857609,-0.029375844608546836,0.9600786646959251,0.9710514314279282,0.0,-12.092756849839567,1.1534999563209914e-33,109.41760918189188
alpha_,new_cell_Y,0.0031866668011705044,1.0031917496214722,0.0033955600475467883,-0.0034685085993643137,0.009841842201705323,0.9965374997279351,1.0098904324055504,0.0,0.9384804734856024,0.3479975471574739,1.522850957538128
alpha_,rev_Mean,-0.0008722167880291862,0.999128163482466,5.076064510513873e-05,-0.0009717058242672775,-0.0007727277517910948,0.9990287661289583,0.9992275707254127,0.0,-17.18293347577822,3.5642298645597936e-66,217.413663880317
alpha_,totcalls,0.00028259844368441024,1.0002826383783863,3.5485819292180183e-05,0.00021304751590984044,0.00035214937145898006,1.0002130702121437,1.0003522113833279,0.0,7.963700692876067,1.6696885214300348e-15,49.08934242869508
alpha_,totmou,0.000108136620365078,1.0001081424673401,1.383842963598211e-05,8.101379667596133e-05,0.00013525944405419466,1.0000810170783823,1.0001352685920253,0.0,7.814226267690493,5.5301674982553396e-15,47.36159824569987
alpha_,totrev,-0.0008189936634587543,0.9991813416203136,2.2664427181324295e-05,-0.0008634151244643805,-0.000774572202453128,0.9991369575111201,0.9992257277011578,0.0,-36.135643619248974,6.25343714987754e-286,947.4267857646408
alpha_,Intercept,2.797825721795259,16.408930376797557,0.006047497656046963,2.7859728441928167,2.8096785993977016,16.215585443958272,16.6045806388637,0.0,462.64188610270577,0.0,inf
beta_,Intercept,1.9257410406623325,6.8602304924944635,0.003833617432543404,1.9182272885640426,1.9332547927606225,6.808877589328766,6.911970701883389,0.0,502.32999889733503,0.0,inf
