covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
eqpdays,-0.00020895804235121276,0.99979106378786,1.7129402360190103e-05,-0.00024253105405388077,-0.00017538503064854475,0.9997574983542247,0.9998246303484069,0.0,-12.19879351055735,3.1546342637588176e-34,111.28808247181729
area_CALIFORNIA NORTH AREA,-0.054508531584779155,0.9469504298354878,0.0283468086338782,-0.11006725558382949,0.0010501924142711713,0.8957738874747685,1.001050744059419,0.0,-1.9229159899020951,0.05449060129364636,4.197848778901109
area_CENTRAL/SOUTH TEXAS AREA,-0.10033259821396773,0.9045365207685103,0.03015589002748898,-0.15943705658959673,-0.04122813983833874,0.8526236327467009,0.9596101796618508,0.0,-3.3271310554093505,0.0008774509602872142,10.154393882425648
area_CHICAGO AREA,-0.02697922636980232,0.9733814619808424,0.03097636570873906,-0.08769178753087242,0.03373333479126778,0.9160431691450585,1.0343087557895725,0.0,-0.8709616429338234,0.3837750969104555,1.3816669965104778
area_DALLAS AREA,-0.08243230954407321,0.9208737701124813,0.02841055513517063,-0.13811597438979714,-0.02674864469834929,0.870997672464508,0.973605931783624,0.0,-2.9014677521041032,0.003714190058549531,8.072736643456787
area_DC/MARYLAND/VIRGINIA AREA,-0.07213800255660355,0.9304024890290211,0.029085291308252787,-0.12914412600063488,-0.015131879112572216,0.8788472916719856,0.9849820324808897,0.0,-2.480222796879287,0.01313003122647859,6.250985842452361
area_GREAT LAKES AREA,-0.07422885576490873,0.9284591862881608,0.03063186009406307,-0.13426619832874206,-0.014191513201075402,0.8743572811744567,0.9859087116481338,0.0,-2.4232565550041616,0.015382059183602073,6.02260754114894
area_HOUSTON AREA,-0.09047911504089072,0.9134934119742855,0.031320864775578085,-0.15186688196567297,-0.029091348116108473,0.8591026351837162,0.9713277314554775,0.0,-2.888780871447722,0.003867384730975511,8.014425992477955
area_LOS ANGELES AREA,-0.18853991528603445,0.8281674462384017,0.028266284142567474,-0.24394081418224234,-0.13313901638982656,0.7835340069914898,0.8753433965712802,0.0,-6.6701344377311935,2.5556920448887156e-11,35.1874950384927
area_MIDWEST AREA,-0.09761862551879756,0.9069947424520581,0.028045523682874135,-0.15258684186479599,-0.04265040917279912,0.8584843383383276,0.958246325644061,0.0,-3.4807203681637047,0.000500067270215366,10.965590196905904
area_NEW ENGLAND AREA,-0.043579761367346925,0.9573561910067626,0.029429242912254554,-0.10126001756764651,0.014100494832952656,0.9036980249717549,1.0142003757146898,0.0,-1.4808318887877334,0.13865137663647578,2.850466154263616
area_NEW YORK CITY AREA,-0.0602122524141488,0.9415646630006931,0.025668957186501157,-0.11052248402039166,-0.009902020807905934,0.8953661985313008,0.9901468427843675,0.0,-2.3457225775347563,0.018990236302679014,5.718598332176619
area_NORTH FLORIDA AREA,-0.0356113388404281,0.965015284565672,0.03180608437778831,-0.09795011871013526,0.02672744102927905,0.9066941296986495,1.027087822609901,0.0,-1.1196391991369166,0.26286754421558184,1.92759206890605
area_NORTHWEST/ROCKY MOUNTAIN AREA,-0.026022321957708577,0.9743133407848241,0.03010053995696262,-0.08501829618856414,0.03297365227314698,0.9184954792812388,1.0335233078927522,0.0,-0.8645134603869223,0.38730588925344533,1.3684546561801705
area_OHIO AREA,-0.06719360393906909,0.9350141613875884,0.03134183304134861,-0.12862246790957985,-0.0057647399685583425,0.8793058690723945,0.9942518442616659,0.0,-2.1438951528591836,0.03204128867354469,4.963924016886255
area_PHILADELPHIA AREA,-0.022465919155754098,0.9777845603487998,0.03688127701985065,-0.0947518938185061,0.04982005550699791,0.9095985835058593,1.051081942950648,0.0,-0.6091415745626769,0.5424306026183316,0.8824895207636642
area_SOUTH FLORIDA AREA,-0.04625490967465789,0.9547985437810199,0.03209885473459668,-0.10916750889945037,0.0166576895501346,0.8965802197529774,1.016797202438314,0.0,-1.4410143307949108,0.14958063420047046,2.7410046893907944
area_SOUTHWEST AREA,-0.15132386602242845,0.8595692682946475,0.028366938279798897,-0.2069220434025049,-0.09572568864235201,0.8130830327036991,0.908713252248923,0.0,-5.3345152913521,9.580011498449728e-08,23.315397371535518
area_TENNESSEE AREA,-0.08583620690333352,0.9177445391301288,0.03519648529234731,-0.15482005045872796,-0.016852363347939076,0.8565693028689204,0.9832888433921166,0.0,-2.4387721157486335,0.014737258492297208,6.084388018627026
new_cell_U,0.0651470773067771,1.067315990802218,0.012951472316018255,0.03976265802061376,0.09053149659294044,1.0405637754158237,1.094755988182363,0.0,5.0300904574535386,4.902484885343978e-07,20.959983481702913
new_cell_Y,-0.0028132651395265424,0.9971906883825418,0.014587927296700094,-0.031405077250147476,0.025778546971094392,0.96908294010551,1.026113687326476,0.0,-0.19284885935529206,0.8470773374074059,0.23943440254279547
asl_flag_Y,0.10848141803334897,1.1145841971795312,0.019115430625335314,0.0710158624587178,0.14594697360798015,1.0735982556412995,1.157134827738957,0.0,5.675070583530003,1.3863148232837119e-08,26.104169837544422
dualband_T,0.02350259406136231,1.0237809564938074,0.02835411894440782,-0.03207045788304187,0.0790756460057665,0.9684383455596408,1.0822861896011393,0.0,0.8288952341436672,0.4071636924151699,1.2963191756838712
dualband_Y,0.011336546727730953,1.0114010488870586,0.011148481615855747,-0.010514075721653216,0.033187169177115124,0.9895410039661355,1.0337440061501983,0.0,1.0168691233797913,0.3092156935573261,1.693314552976571
